site_id,site_name,county,latitude,longitude,aqi,pm25,status,pollutant,publish_time,wind_speed,wind_direction,distance_to_taipei_main_km
1,基隆,基隆市,25.129167,121.760056,86,17.0,普通,懸浮微粒,2026/02/24 21:00:00,0.3,342,26.095396215474587
2,汐止,新北市,25.06624,121.64081,77,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.6,38,12.638815387898882
4,新店,新北市,24.977222,121.537778,73,19.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.5,109,8.122405606894956
5,土城,新北市,24.982528,121.451861,75,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.2,155,9.78567168002946
6,板橋,新北市,25.012972,121.458667,87,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.9,19,7.0383797722777155
7,新莊,新北市,25.037972,121.4325,87,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.4,36,8.582526801798146
8,菜寮,新北市,25.06895,121.481028,83,25.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,287,4.319722938189097
9,林口,新北市,25.07798949,121.36548982,71,15.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,27,15.625736576495962
10,淡水,新北市,25.1645,121.449239,92,18.0,普通,懸浮微粒,2026/02/24 21:00:00,,,14.660803127223831
11,士林,臺北市,25.10334003,121.51666356,78,21.0,普通,懸浮微粒,2026/02/24 21:00:00,0.2,3,6.175862517612536
12,中山,臺北市,25.062361,121.526528,78,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.7,124,1.8821994759983645
13,萬華,臺北市,25.046503,121.507972,73,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,14,0.9208277141458631
14,古亭,臺北市,25.020608,121.529556,73,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,43,3.2775693240586534
15,松山,臺北市,25.05,121.578611,81,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,50,6.211306954297711
16,大同,臺北市,25.06331455,121.51342074,82,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,-,-,1.7624122187744562
17,桃園,桃園市,24.9947107,121.30500531,91,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.9,322,22.16116842085432
18,大園,桃園市,25.06100357,121.20251473,89,18.0,普通,懸浮微粒,2026/02/24 21:00:00,1.8,32,31.712777573416155
19,觀音,桃園市,25.03556747,121.08283092,78,14.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,34,43.7604531094954
20,平鎮,桃園市,24.952786,121.203986,96,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.9,37,33.26671579923951
21,龍潭,桃園市,24.86400048,121.21645772,94,29.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.4,28,36.54716753297576
22,湖口,新竹縣,24.90009696,121.03886894,80,21.0,普通,懸浮微粒,2026/02/24 21:00:00,1.3,17,50.916312276188336
23,竹東,新竹縣,24.74091408,121.08895493,76,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,300,55.03132691068277
24,新竹,新竹市,24.8056356,120.97236752,77,16.0,普通,懸浮微粒,2026/02/24 21:00:00,0.5,41,61.16514900586413
25,頭份,苗栗縣,24.69690679,120.89869286,89,29.0,普通,懸浮微粒,2026/02/24 21:00:00,1.5,325,73.57349304100848
26,苗栗,苗栗縣,24.56499183,120.82011468,78,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.1,359,88.4864116866536
27,三義,苗栗縣,24.38248443,120.75956754,62,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.3,16,106.42508108451301
28,豐原,臺中市,24.25699731,120.74252414,71,20.0,普通,懸浮微粒,2026/02/24 21:00:00,2.1,332,117.72022822898505
29,沙鹿,臺中市,24.225628,120.568794,74,20.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.3,18,132.44793061660283
30,大里,臺中市,24.09961111,120.67844444,78,19.0,普通,懸浮微粒,2026/02/24 21:00:00,1.7,307,135.30212816056505
